City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,vilyuchinsk,52.9306,158.4028,11.15,99,100,1.25,RU,1720528986
147,konarka,19.9,86.1167,29.53,79,96,6.67,IN,1720528987
148,qaqortoq,60.7167,-46.0333,6.23,95,100,2.43,GL,1720528901
149,nemuro,43.3236,145.575,14.87,100,100,2.4,JP,1720528456
150,sittwe,20.15,92.9,28.47,81,100,3.53,MM,1720528991
151,salekhard,66.53,66.6019,25.35,41,10,1.26,RU,1720528992
152,carrizo springs,28.5219,-99.8606,26.34,83,40,1.54,US,1720528993
153,sungailiat,-1.85,106.1333,27.29,81,51,4.49,ID,1720528994
154,al jawf,29.5,38.75,39.31,11,0,2.67,SA,1720528510
155,maria la baja,9.9832,-75.3016,28.39,75,100,1.38,CO,1720528997
156,igarka,67.4667,86.5833,19.82,52,51,4.06,RU,1720528596
157,flying fish cove,-10.4217,105.6791,25.82,78,75,5.14,CX,1720528620
158,noumea,-22.2763,166.4572,22.78,99,13,5.23,NC,1720529000
159,inarajan village,13.2736,144.7484,28.54,91,98,6.21,GU,1720529180
160,akhaltsikhe,41.639,42.9826,18.28,95,100,2.09,GE,1720529182
161,wad medani,14.4012,33.5199,38.58,25,100,3.59,SD,1720529183
162,uturoa,-16.7333,-151.4333,25.34,81,79,3.86,PF,1720528739
163,alvand,36.3187,49.1678,23.32,38,8,4.5,IR,1720529185
164,acarau,-2.8856,-40.12,29.1,61,16,7.2,BR,1720529186
165,yerofey pavlovich,53.9667,121.9667,20.95,49,100,1.15,RU,1720529212
166,sesvete,45.8311,16.1164,32.77,49,20,3.09,HR,1720529213
167,bokovskaya,49.229,41.8306,35.19,15,100,5.36,RU,1720529214
168,dhidhdhoo,6.8833,73.1,28.81,79,100,4.87,MV,1720529215
169,durango,24.8333,-104.8333,19.95,54,3,0.63,MX,1720529216
170,ola,59.5833,151.2833,14.07,67,85,4.18,RU,1720529217
171,banjarmasin,-3.3244,114.591,25.08,95,100,0.54,ID,1720529219
172,east london,-33.0153,27.9116,22.52,18,0,7.2,ZA,1720529276
173,qarauyl,48.9451,79.255,21.72,61,97,5.76,KZ,1720529278
174,nuku'alofa,-21.1333,-175.2,21.19,83,75,6.17,TO,1720529279
175,outokumpu,62.7269,29.0159,18.94,87,100,4.63,FI,1720529280
176,blacksburg,37.2296,-80.4139,25.19,89,0,0.0,US,1720529307
177,lebu,-37.6167,-73.65,5.88,83,2,7.4,CL,1720529308
178,yakeshi,49.2833,120.7333,22.23,34,25,1.22,CN,1720529309
